,precip,proba_precip,temp_min,temp_max,etp,date
0,0.0,0,3,15,2,2022-03-23 01:00:00+01:00
1,0.0,0,4,17,2,2022-03-24 01:00:00+01:00
2,0.0,0,5,16,2,2022-03-25 01:00:00+01:00
3,0.0,0,5,15,2,2022-03-26 01:00:00+01:00
4,0.0,40,4,16,3,2022-03-27 01:00:00+01:00
5,0.0,50,5,16,3,2022-03-28 02:00:00+02:00
6,1.2,60,6,14,2,2022-03-29 02:00:00+02:00
7,5.4,60,5,12,2,2022-03-30 02:00:00+02:00
8,5.6,60,4,10,2,2022-03-31 02:00:00+02:00
9,5.6,60,2,9,2,2022-04-01 02:00:00+02:00
10,6.7,60,3,11,2,2022-04-02 02:00:00+02:00
11,5.4,60,5,13,2,2022-04-03 02:00:00+02:00
12,8.0,60,6,13,2,2022-04-04 02:00:00+02:00
13,8.0,60,6,13,2,2022-04-05 02:00:00+02:00
