,date,temp_min,temp_max,etp,precip,proba_precip
0,2022-03-24 01:00,3.0,16.0,2.0,0.0,0.0
1,2022-03-25 01:00,7.0,16.0,2.0,0.0,0.0
2,2022-03-26 01:00,5.0,15.0,3.0,0.0,0.0
3,2022-03-27 01:00,5.0,16.0,2.0,0.0,0.0
4,2022-03-28 02:00,5.0,16.0,3.0,0.0,30.0
5,2022-03-29 02:00,5.0,14.0,2.0,1.0,60.0
6,2022-03-30 02:00,4.0,11.0,2.0,7.4,60.0
7,2022-03-31 02:00,3.0,9.0,2.0,5.4,60.0
8,2022-04-01 02:00,1.0,8.0,2.0,3.0,60.0
9,2022-04-02 02:00,2.0,9.0,2.0,4.6,60.0
10,2022-04-03 02:00,3.0,11.0,2.0,3.8,60.0
11,2022-04-04 02:00,5.0,12.0,2.0,6.4,60.0
12,2022-04-05 02:00,5.0,12.0,2.0,8.0,60.0
13,2022-04-06 02:00,6.0,13.0,2.0,8.0,60.0
