date,temp_min,temp_max,etp,precip,proba_precip
2022-03-24 01:00,4.0,16.0,2.0,0.0,0.0
2022-03-25 01:00,6.0,16.0,2.0,0.0,0.0
2022-03-26 01:00,5.0,15.0,3.0,0.0,0.0
2022-03-27 01:00,5.0,15.0,2.0,0.0,0.0
2022-03-28 02:00,4.0,15.0,3.0,0.0,30.0
2022-03-29 02:00,4.0,13.0,2.0,1.0,60.0
2022-03-30 02:00,3.0,10.0,2.0,5.9,60.0
2022-03-31 02:00,2.0,8.0,2.0,5.4,60.0
2022-04-01 02:00,0.0,7.0,2.0,3.0,60.0
2022-04-02 02:00,1.0,8.0,2.0,5.9,60.0
2022-04-03 02:00,2.0,10.0,2.0,3.8,60.0
2022-04-04 02:00,4.0,11.0,2.0,6.4,60.0
2022-04-05 02:00,5.0,11.0,2.0,8.0,60.0
2022-04-06 02:00,5.0,12.0,2.0,8.0,60.0
